,sna,tot,sbi,sarea,mday,ar,bemp,act
446,YouBike2.0_南海和平路口西南側,19,2,中正區,2023-05-27 13:21:18,南海路與和平西路二段西南側,17,1
447,YouBike2.0_莒光和平路口,20,2,中正區,2023-05-27 13:24:14,莒光路2號前,18,1
455,YouBike2.0_濟南紹興路口,39,0,中正區,2023-05-27 13:03:04,濟南紹興路口東南側,39,1
471,YouBike2.0_中華路一段21巷口,22,3,中正區,2023-05-27 13:17:32,中華路一段11號(斜前方),19,1
473,YouBike2.0_寶藏巖觀音亭,23,1,中正區,2023-05-27 12:50:08,汀州路三段230巷23號,22,1
478,YouBike2.0_莒光大埔街口,32,2,中正區,2023-05-27 13:25:15,莒光路/大埔街口(東北側),29,1
479,YouBike2.0_捷運忠孝新生站(2號出口),32,0,中正區,2023-05-27 13:24:04,忠孝東路二段132號(東側),30,1
484,YouBike2.0_王貫英先生紀念圖書館,15,0,中正區,2023-05-27 13:17:22,汀州路二段265號,15,1
487,YouBike2.0_徐州杭州路口,19,1,中正區,2023-05-27 12:53:04,徐州路/杭州南路一段口(西北側),18,1
488,YouBike2.0_捷運中正紀念堂站(6號出口),17,3,中正區,2023-05-27 12:57:14,捷運中正紀念堂站(6號出口)北側,13,1
489,YouBike2.0_捷運臺北車站(M2出口),20,1,中正區,2023-05-27 13:26:04,市民大道一段168號旁,19,1
492,YouBike2.0_弘道國中,18,1,中正區,2023-05-27 13:21:18,公園路21號西北側,16,1
494,YouBike2.0_台北市替代役中心,15,3,中正區,2023-05-27 13:24:14,汀州路三段8號前,12,1
495,YouBike2.0_紹興徐州路口,18,0,中正區,2023-05-27 13:23:04,紹興南街/徐州路(東南側),18,1
500,YouBike2.0_仁愛金山路口,9,0,中正區,2023-05-27 13:14:04,仁愛路二段31號前,9,1
501,YouBike2.0_杭州南路一段101巷口,14,3,中正區,2023-05-27 13:11:15,金山南路一段72號前,11,1
506,YouBike2.0_林森北平路口,20,1,中正區,2023-05-27 13:25:15,林森北路與北平東路口西北側,18,1
508,YouBike2.0_天津北平路口,15,2,中正區,2023-05-27 12:01:18,天津街1號對側人行道,13,1
509,YouBike2.0_捷運忠孝新生站(1號出口),19,0,中正區,2023-05-27 13:10:10,捷運忠孝新生站(1號出口)後方,19,1
510,YouBike2.0_捷運忠孝新生站(5號出口),13,1,中正區,2023-05-27 13:21:18,新生南路一段56號前方,12,1
511,YouBike2.0_捷運臺大醫院站(1號出口),19,1,中正區,2023-05-27 13:23:04,公園路/常德街口(西側),17,1
513,YouBike2.0_林森濟南路口(東北側),15,1,中正區,2023-05-27 13:21:04,林森南路/濟南路一段口(東北側),12,1
516,YouBike2.0_立法院台北會館,15,2,中正區,2023-05-27 13:16:15,博愛路217號旁,12,1
517,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,0,中正區,2023-05-27 13:26:04,忠孝東路一段/林森南路口,16,1
520,YouBike2.0_濟南路二段8巷口,15,3,中正區,2023-05-27 13:21:18,濟南路二段6-1號對側,12,1
521,YouBike2.0_仁愛金山路口(東南側),14,3,中正區,2023-05-27 13:24:14,仁愛路二段48-4號前,11,1
522,YouBike2.0_臺灣文學基地,15,2,中正區,2023-05-27 13:05:05,齊東街53巷10號,13,1
523,YouBike2.0_重慶南詔安街口,15,2,中正區,2023-05-27 13:26:19,重慶南路三段/詔安街,13,1
526,YouBike2.0_螢圃里小公園,19,2,中正區,2023-05-27 13:22:15,汀州路二段135號對側,16,1
527,YouBike2.0_螢橋公園,15,2,中正區,2023-05-27 13:22:15,和平西路一段110號旁,11,1
530,YouBike2.0_樂群二堤頂大道口,20,2,中山區,2023-05-27 13:15:15,堤頂大道二段382號(旁),17,1
531,YouBike2.0_劍潭社區,13,0,中山區,2023-05-27 09:55:11,通北街146巷2弄2號(對面公園),13,1
537,YouBike2.0_樂群二敬業四路口,36,3,中山區,2023-05-27 13:26:19,樂群二路186號,33,1
539,YouBike2.0_復興市民路口,45,0,中山區,2023-05-27 13:26:19,復興南路一段36-9號前人行道,45,1
542,YouBike2.0_新生長安路口,20,1,中山區,2023-05-27 13:24:04,新生北路一段/長安東路二段交叉口(北側),19,1
544,YouBike2.0_南京新生路口,30,1,中山區,2023-05-27 13:19:14,新生北路一段/南京東路一段口(橋墩下方),28,1
545,YouBike2.0_一江公園,22,1,中山區,2023-05-27 13:24:04,一江街/松江路132巷口(西北側),21,1
546,YouBike2.0_松江公園,25,3,中山區,2023-05-27 13:15:15,松江路/松江路84巷(西北側路側),22,1
547,YouBike2.0_新生長春路口,20,0,中山區,2023-05-27 13:25:15,新生北路二段/新生北路二段68巷交叉口(新生橋下),19,1
548,YouBike2.0_第二果菜批發市場,28,1,中山區,2023-05-27 13:12:14,民族東路410巷2弄18號(東側),25,1
549,YouBike2.0_民生建國路口,26,2,中山區,2023-05-27 13:21:18,民生東路三段 / 建國北路二段口,24,1
552,YouBike2.0_龍江錦州街口,16,2,中山區,2023-05-27 13:22:15,龍江路287號前方,13,1
556,YouBike2.0_朱崙商場,31,3,中山區,2023-05-27 13:26:19,龍江路15號前,27,1
557,YouBike2.0_中吉公園,15,3,中山區,2023-05-27 12:58:14,松江路170巷20號對側,12,1
558,YouBike2.0_華山公園,19,2,中山區,2023-05-27 13:22:15,市民大道與長安東路一段52巷口,16,1
560,YouBike2.0_江寧公園,15,2,中山區,2023-05-27 13:25:15,合江街186號對側,12,1
564,YouBike2.0_林森農安街口,17,1,中山區,2023-05-27 12:57:04,林森北路582號(前),16,1
565,YouBike2.0_捷運中山國小站(4號出口),20,1,中山區,2023-05-27 13:26:19,民權東路一段/民權東路一段71巷口,19,1
566,YouBike2.0_農安雙城街口,15,1,中山區,2023-05-27 13:06:04,農安街12-1號前方,14,1
568,YouBike2.0_民族林森路口,20,0,中山區,2023-05-27 12:59:04,民族東路17號前,18,1
571,YouBike2.0_新生高架停車場(林森北路107巷口),14,3,中山區,2023-05-27 13:24:14,新生北路一段與林森北路107巷口(新生高架橋下),10,1
572,YouBike2.0_南京林森路口(東南側),10,3,中山區,2023-05-27 13:23:15,南京東路一段86號前,5,1
573,YouBike2.0_仁德公園,18,0,中山區,2023-04-17 00:35:05,吉林路108巷與南京東路二段21巷口東南側,18,0
574,YouBike2.0_中原公園,15,1,中山區,2023-05-27 13:19:14,新生北路二段45巷(中原公園西側),14,1
576,YouBike2.0_五常國中,16,1,中山區,2023-05-27 13:26:19,復興北路488巷2弄5號對側,14,1
579,YouBike2.0_松江路431巷口,15,0,中山區,2023-05-27 12:51:04,松江路433號前,15,1
580,YouBike2.0_新喜公園,13,0,中山區,2023-05-27 13:12:04,德惠街170巷22號對側,12,1
581,YouBike2.0_吉林路407巷口,15,1,中山區,2023-05-27 13:25:15,吉林路401號前,13,1
583,YouBike2.0_林安泰古厝,22,2,中山區,2023-05-27 13:21:18,濱江街5號對側,20,1
584,YouBike2.0_中山公民會館,20,2,中山區,2023-05-27 13:17:32,中山北路二段128巷口,16,1
585,YouBike2.0_渭水八德路口,23,1,中山區,2023-05-27 13:11:15,渭水路54號對側,20,1
587,YouBike2.0_撫順公園,20,2,中山區,2023-05-27 13:25:15,中山北路三段2號對側,17,1
588,YouBike2.0_新生公園,16,1,中山區,2023-05-27 13:19:04,民族東路/吉林路口(西北側),15,1
591,YouBike2.0_建國農安街口,35,3,中山區,2023-05-27 13:21:18,建國北路/農安街口(建國橋下),30,1
592,YouBike2.0_松江路77巷口,10,1,中山區,2023-05-27 13:17:22,松江路77巷口,9,1
593,YouBike2.0_建國長安路口,20,3,中山區,2023-05-27 12:49:14,建國北路一段與長安東路二段口北側,15,1
594,YouBike2.0_市民新生路口,15,1,中山區,2023-05-27 13:09:15,新生北路一段36號前,14,1
595,YouBike2.0_民權吉林路口,15,1,中山區,2023-05-27 13:25:05,民權東路二段51號前,13,1
598,YouBike2.0_中吉公園(松江路188巷),22,2,中山區,2023-05-27 13:09:15,松江路188巷11號對側,20,1
599,YouBike2.0_吉林路123巷口,13,3,中山區,2023-05-27 13:22:15,吉林路125號前,10,1
604,YouBike2.0_永盛公園(民生東路一段23巷),24,2,中山區,2023-05-27 13:21:18,民生東路一段23巷/民生東路一段27巷口,22,1
605,YouBike2.0_新生錦州街口,20,1,中山區,2023-05-27 13:14:04,新生北路二段100號前,19,1
606,YouBike2.0_濱江街199巷口,15,0,中山區,2023-05-27 13:12:04,濱江街199巷(八號疏散門前),15,1
607,YouBike2.0_大佳社區公園,15,0,中山區,2023-05-27 10:38:04,濱江街154巷對側,15,1
609,YouBike2.0_興安合江路口,19,1,中山區,2023-05-27 13:26:19,興安街60號對側,18,1
610,YouBike2.0_復興北路514巷口東側,10,0,中山區,2023-05-27 13:14:04,復興北路514巷66號前側,9,1
611,YouBike2.0_台泥大樓,18,2,中山區,2023-05-27 13:26:19,中山北路二段113-133號前,14,1
615,YouBike2.0_南京龍江路口,15,2,中山區,2023-05-27 13:25:15,南京東路三段121號前,13,1
617,YouBike2.0_臺北市立圖書館大直分館,20,1,中山區,2023-05-27 13:07:14,大直街28號對側,19,1
620,YouBike2.0_中429公園,15,0,中山區,2023-05-27 10:24:04,敬業三路177巷南側,15,1
625,YouBike2.0_長春一江街口,11,3,中山區,2023-05-27 12:52:15,長春路135號前,8,1
628,YouBike2.0_松江長春路口,16,3,中山區,2023-05-27 13:17:32,松江路158號前,13,1
631,YouBike2.0_新生農安街口,15,0,中山區,2023-05-27 12:58:04,新生北路三段與農安街口(高架橋下),15,1
632,YouBike2.0_稻江高級護理家事職業學校,14,0,中山區,2023-05-27 12:19:03,農安街77巷與農安街77巷1弄口,13,1
633,YouBike2.0_捷運大直站(3號出口)_1,18,0,中山區,2023-05-27 13:26:19,北安路458巷41弄52之1號前,18,1
635,YouBike2.0_民權吉林路口(南側),16,0,中山區,2023-05-27 13:21:04,民權東路二段46號前,16,1
637,YouBike2.0_民權新生路口,26,0,中山區,2023-05-27 12:50:08,民權東路一段/新生北路三段(北側)(新生高架橋下),25,1
642,YouBike2.0_濱江國小游泳池,16,1,中山區,2023-05-27 13:08:14,樂群二路266巷99號前,14,1
644,YouBike2.0_中428公園,15,2,中山區,2023-05-27 11:08:15,樂群二路30巷/樂群二路116巷61弄,13,1
645,YouBike2.0_復華公園,20,0,中山區,2023-05-27 13:26:19,南京東路三段109巷/龍江路120巷,20,1
649,YouBike2.0_龍江朱崙街口,14,3,中山區,2023-05-27 13:21:18,龍江路/朱崙街口西北側,11,1
654,YouBike2.0_新生濱江街口(東南側),21,3,中山區,2023-05-27 12:55:24,新生北路三段/濱江街口(東南側),18,1
655,YouBike2.0_新生北路一段62巷口,20,1,中山區,2023-05-27 13:15:15,新生北路一段64號對側,19,1
656,YouBike2.0_新生長春路口(東北側),19,0,中山區,2023-05-27 13:13:04,新生北路二段39-2號對側,18,1
659,YouBike2.0_長春路258巷2弄口,15,3,中山區,2023-05-27 13:05:16,長春路258巷6號北側,12,1
661,YouBike2.0_建國五常街口,20,0,中山區,2023-05-27 13:14:04,建國北路三段/五常街,20,1
663,YouBike2.0_市民安東街口,20,1,中山區,2023-05-27 13:17:32,市民大道三段179號前,19,1
664,YouBike2.0_市民大道二段5巷口,15,3,中山區,2023-05-27 13:19:14,市民大道二段/市民大道二段5巷,12,1
665,YouBike2.0_文湖街21巷118弄口,19,0,內湖區,2023-05-27 13:03:04,文湖街21巷118弄6-10號(前),18,1
669,YouBike2.0_文湖國小,31,2,內湖區,2023-05-27 13:18:14,文湖街21巷口北側,27,1
672,YouBike2.0_麗山國小,15,3,內湖區,2023-05-27 13:19:14,內湖路一段411巷56號東側,12,1
674,YouBike2.0_港華五號公園,16,0,內湖區,2023-05-27 12:40:10,環山路二段81號西北側,16,1
675,YouBike2.0_大湖國小,25,2,內湖區,2023-05-27 13:26:19,大湖山莊街/大湖山莊街176巷(東南側),21,1
676,YouBike2.0_安湖三號公園,12,3,內湖區,2023-05-27 13:06:16,東湖路113巷49弄3號北側,9,1
677,YouBike2.0_東湖路113巷95弄,10,0,內湖區,2023-05-27 10:23:04,東湖路113巷95弄13號西側,9,1
679,YouBike2.0_文德三號公園(江南街71巷16弄),15,3,內湖區,2023-05-27 13:25:15,瑞光路271號東南側,12,1
681,YouBike2.0_康寧星雲街口,12,3,內湖區,2023-05-27 13:19:14,康寧路一段116號,9,1
682,YouBike2.0_星雲街47號,15,0,內湖區,2023-05-27 13:16:04,星雲街47號南側,15,1
684,YouBike2.0_捷運西湖站(2號出口),12,0,內湖區,2023-05-27 13:08:04,內湖路一段291號(對面),12,1
687,YouBike2.0_環山路二段26巷口,29,3,內湖區,2023-05-27 13:26:19,環山路二段/環山路二段26巷(西南側),26,1
689,YouBike2.0_碧山公園,31,0,內湖區,2023-05-27 13:26:04,內湖路三段60巷28號東側,31,1
693,YouBike2.0_文德二號公園(南側),13,0,內湖區,2023-05-27 12:38:04,陽光街與陽光街68巷102弄口,13,1
695,YouBike2.0_瑞陽公園,12,1,內湖區,2023-05-27 13:14:04,文德路22巷6號(對面),11,1
699,YouBike2.0_潭美國小(南京舊宗路口),16,0,內湖區,2023-05-27 12:19:03,行善路179號南側,16,1
700,YouBike2.0_新明路343號,10,2,內湖區,2023-05-27 13:07:14,新明路341號北側,8,1
704,YouBike2.0_安康路32巷24弄,21,1,內湖區,2023-05-27 13:04:17,安康路32巷24弄22號,20,1
709,YouBike2.0_瑞光公共住宅(瑞光路),18,0,內湖區,2023-05-27 12:23:04,瑞光路160號,18,1
710,YouBike2.0_民權東路六段15巷,17,1,內湖區,2023-05-27 01:11:15,民權東路六段15巷29號,16,1
711,YouBike2.0_扶輪親恩公園,17,0,內湖區,2023-05-27 12:51:04,民權東路六段30號,16,1
713,YouBike2.0_內湖119號綠地,24,0,內湖區,2023-05-27 13:23:04,南京東路六段125號南側,22,1
715,YouBike2.0_三軍總醫院,14,3,內湖區,2023-05-27 13:05:16,成功路二段424號(對面),11,1
716,YouBike2.0_福華商場,20,2,內湖區,2023-05-27 13:23:15,民權東路六段/民權東路六段180巷(西南側),18,1
720,YouBike2.0_金湖路347巷125弄口,15,1,內湖區,2023-05-27 13:25:05,金湖路347巷125弄1號(對面),14,1
722,YouBike2.0_碧湖公園(內湖路二段103巷),19,3,內湖區,2023-05-27 13:14:18,內湖路二段103巷76號(對面),16,1
723,YouBike2.0_貿七社區,17,1,內湖區,2023-05-27 13:19:14,內湖路二段179巷48弄17號(旁),16,1
726,YouBike2.0_康寧金湖路口,14,0,內湖區,2023-05-27 12:48:04,康寧路一段273號(對面),14,1
727,YouBike2.0_康寧路一段156巷20弄口,17,1,內湖區,2023-05-27 13:21:18,康寧路一段156巷/康寧路一段156巷20弄(西側),16,1
735,YouBike2.0_康寧公園(北側),20,1,內湖區,2023-05-27 12:54:14,康寧路三段60號南側,19,1
745,YouBike2.0_金龍公園,15,0,內湖區,2023-05-27 13:23:04,金龍路112巷口(金龍公園側),15,1
746,YouBike2.0_星雲街138巷1弄口,15,3,內湖區,2023-05-27 13:14:18,星雲街138巷18號,11,1
747,YouBike2.0_東湖一號公園,10,0,內湖區,2023-05-27 12:50:08,康寧路三段189巷163弄13號東南側,10,1
748,YouBike2.0_東湖二號公園,15,2,內湖區,2023-05-27 13:17:32,康寧路三段99巷39弄70號東南側,12,1
749,YouBike2.0_康湖二號公園(康寧醫院),16,1,內湖區,2023-05-27 13:24:14,成功路五段420巷17號東側,13,1
750,YouBike2.0_堤頂大道新湖一路口,13,0,內湖區,2023-05-27 12:07:04,堤頂大道一段215號前,12,1
752,YouBike2.0_舊宗行善路口,9,1,內湖區,2023-05-27 13:04:17,行善路179號西側,8,1
755,YouBike2.0_金湖星雲街口,30,0,內湖區,2023-05-27 13:17:22,金湖路83號對側,30,1
756,YouBike2.0_國防醫學院,15,3,內湖區,2023-05-27 12:36:15,民權東路六段161號前側,12,1
759,YouBike2.0_九華公園,16,2,內湖區,2023-05-27 13:26:19,文湖街21巷68弄25-6號北側,13,1
761,YouBike2.0_行善行愛路口,12,0,內湖區,2023-05-27 11:35:05,行善路243號(前),12,1
763,YouBike2.0_統振大樓,25,1,內湖區,2023-05-27 09:56:04,安美街181號前,24,1
765,YouBike2.0_潭美公園(南京東路六段368巷),18,3,內湖區,2023-05-27 13:24:14,南京東路六段366號對側,14,1
768,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-05-27 08:01:04,瑞光路102號前,11,1
770,YouBike2.0_新湖國小,12,2,內湖區,2023-05-27 11:43:15,民權東路六段/成功路二段320巷31弄(東南側),10,1
771,YouBike2.0_碧山內湖路口,16,2,內湖區,2023-05-27 12:55:24,內湖路三段72巷15號西側,14,1
772,YouBike2.0_民權東路六段413巷,16,1,內湖區,2023-05-27 10:48:04,民權東路六段409號前,15,1
773,YouBike2.0_宏匯瑞光廣場(瑞光路),16,2,內湖區,2023-05-27 13:19:14,瑞光路353號前(瑞光路側人行道),14,1
776,YouBike2.0_內湖路一段360巷,15,2,內湖區,2023-05-27 13:13:15,內湖路一段358號,13,1
777,YouBike2.0_成功路三段83號前,11,0,內湖區,2023-05-27 12:45:05,成功路三段83號前,11,1
778,YouBike2.0_內湖路一段47巷,16,0,內湖區,2023-05-27 11:23:04,內湖路一段47巷/內湖路一段47巷22弄,16,1
779,YouBike2.0_陽光舊宗路口,20,3,內湖區,2023-05-27 13:15:15,陽光街/舊宗路二段,17,1
780,YouBike2.0_安湖公園,8,0,內湖區,2023-05-27 09:32:04,東湖路113巷95弄/康寧路三段75巷,8,1
782,YouBike2.0_安泰街(康樂橋下),15,3,內湖區,2023-05-27 12:10:19,安泰街(康樂橋下),12,1
783,YouBike2.0_康樂綠地,15,0,內湖區,2023-05-27 10:57:04,康樂街191巷/康樂街,15,1
785,YouBike2.0_明美公園(行善路333巷),16,1,內湖區,2023-05-27 13:23:15,行善路333巷92號前,15,1
786,YouBike2.0_行善路383巷,17,1,內湖區,2023-05-27 12:30:45,行善路383巷27號對側,15,1
789,YouBike2.0_內湖路三段326巷口,15,1,內湖區,2023-05-27 13:13:15,內湖路三段326巷/內湖路三段,14,1
790,YouBike2.0_成功公園,11,3,內湖區,2023-05-27 13:26:19,成功路四段223巷/成功路四段223巷6弄,8,1
791,YouBike2.0_康寧路三段189巷93弄口,14,1,內湖區,2023-05-27 12:34:04,康寧路三段189巷/康寧路三段189巷93弄,12,1
792,YouBike2.0_中國醫藥大學附設醫院臺北分院,13,0,內湖區,2023-05-27 13:25:05,內湖路二段368號對側,11,1
793,YouBike2.0_康樂抽水站,15,1,內湖區,2023-05-27 12:35:05,東湖路160巷23號,14,1
794,YouBike2.0_環山路三段16巷口,13,2,內湖區,2023-05-27 13:24:14,環山路三段/環山路三段16巷口(東南側),11,1
795,YouBike2.0_文德一號綠地,15,3,內湖區,2023-05-27 12:30:45,內湖區文德路91號旁,12,1
797,YouBike2.0_行善社會住宅,23,3,內湖區,2023-05-27 13:03:15,行愛路與新湖一路口西南側,20,1
798,YouBike2.0_康寧路三段99巷17弄口,15,0,內湖區,2023-05-27 11:58:03,康寧路三段99巷19號對側,15,1
799,YouBike2.0_堤頂大道二段407巷口,15,0,內湖區,2023-05-26 11:53:04,堤頂大道二段405號前,15,1
800,YouBike2.0_海德堡科技大樓,12,2,內湖區,2023-05-27 10:03:15,堤頂大道二段473號前,9,1
801,YouBike2.0_致伸科技大樓,17,1,內湖區,2023-05-27 12:38:14,瑞光路669號旁,16,1
802,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-05-27 11:22:15,內湖路一段290號前,19,1
803,YouBike2.0_大都會客運內湖站,15,0,內湖區,2023-05-27 10:25:05,民權東路六段11巷25號對側,15,1
804,YouBike2.0_瑞湖公園,15,1,內湖區,2023-05-27 10:44:04,民權東路六段15巷/民權東路六段19巷,14,1
805,YouBike2.0_台灣世曦大樓,16,0,內湖區,2023-05-27 13:10:10,陽光街323號,15,1
